Title,Genre,Rating/Score
ON BECOMING A GUINEA FOWL,Comedy,100
ON BECOMING A GUINEA FOWL,Drama,100
EEPHUS,Comedy,100
EEPHUS,Drama,100
EEPHUS,Sports,100
CAUGHT BY THE TIDES,Drama,98
PAVEMENTS,Documentary,98
PAVEMENTS,Biography,98
PAVEMENTS,Music,98
VULCANIZADORA,Drama,98
VULCANIZADORA,Horror,98
SINNERS,Horror,97
SINNERS,Mystery & thriller,97
SINNERS,Drama,97
I'M STILL HERE,Drama,97
I'M STILL HERE,Biography,97
I'M STILL HERE,History,97
SISTER MIDNIGHT,Comedy,97
SISTER MIDNIGHT,Drama,97
A NICE INDIAN BOY,Romance,97
A NICE INDIAN BOY,Comedy,97
A NICE INDIAN BOY,Lgbtq+,97
A NICE INDIAN BOY,Drama,97
BLACK DOG,Drama,97
BLACK BAG,Mystery & thriller,96
BLACK BAG,Drama,96
THE BALLAD OF WALLIS ISLAND,Comedy,97
THE BALLAD OF WALLIS ISLAND,Drama,97
THE BALLAD OF WALLIS ISLAND,Music,97
THE UGLY STEPSISTER,Horror,96
THE UGLY STEPSISTER,Comedy,96
MISERICORDIA,Drama,96
MISERICORDIA,Crime,96
SORRY BABY,Drama,97
WHEN FALL IS COMING,Comedy,96
WHEN FALL IS COMING,Drama,96
APRIL,Drama,96
PREDATOR: KILLER OF KILLERS,Sci-fi,95
PREDATOR: KILLER OF KILLERS,Action,95
PREDATOR: KILLER OF KILLERS,Adventure,95
PREDATOR: KILLER OF KILLERS,Animation,95
PREDATOR: KILLER OF KILLERS,Mystery & thriller,95
MY DEAD FRIEND ZOE,Comedy,95
MY DEAD FRIEND ZOE,Drama,95
ONE OF THEM DAYS,Comedy,94
COMPANION,Mystery & thriller,93
COMPANION,Sci-fi,93
COMPANION,Horror,93
COMPANION,Comedy,93
WARFARE,Action,93
WARFARE,War,93
WARFARE,Mystery & thriller,93
WARFARE,Drama,93
PADDINGTON IN PERU,Kids & family,93
PADDINGTON IN PERU,Comedy,93
PADDINGTON IN PERU,Adventure,93
THE COLORS WITHIN,Drama,93
THE COLORS WITHIN,Anime,93
THE COLORS WITHIN,Music,93
SHARP CORNER,Mystery & thriller,93
FINAL DESTINATION BLOODLINES,Horror,92
GRAND TOUR,Drama,92
DEEP COVER,Comedy,90
DEEP COVER,Crime,90
DEEP COVER,Drama,90
28 YEARS LATER,Horror,89
28 YEARS LATER,Mystery & thriller,89
BRING THEM DOWN,Drama,90
BRING THEM DOWN,Mystery & thriller,90
THE DAMNED,Horror,90
BRING HER BACK,Horror,89
BRING HER BACK,Mystery & thriller,89
BRIDGET JONES: MAD ABOUT THE BOY,Romance,89
BRIDGET JONES: MAD ABOUT THE BOY,Comedy,89
F1 THE MOVIE,Action,84
F1 THE MOVIE,Drama,84
F1 THE MOVIE,Sports,84
THUNDERBOLTS*,Action,88
THUNDERBOLTS*,Adventure,88
THUNDERBOLTS*,Crime,88
THUNDERBOLTS*,Drama,88
FRIENDSHIP,Comedy,88
FRIENDSHIP,Drama,88
FRIENDSHIP,Mystery & thriller,88
SUPERBOYS OF MALEGAON,Drama,88
SUPERBOYS OF MALEGAON,Comedy,88
PRESENCE,Horror,87
PRESENCE,Mystery & thriller,87
THE WEDDING BANQUET,Romance,87
THE WEDDING BANQUET,Comedy,87
THE WEDDING BANQUET,Lgbtq+,87
THE SURFER,Mystery & thriller,86
THE SURFER,Drama,86
THE DAY THE EARTH BLEW UP: A LOONEY TUNES MOVIE,Kids & family,86
THE DAY THE EARTH BLEW UP: A LOONEY TUNES MOVIE,Comedy,86
THE DAY THE EARTH BLEW UP: A LOONEY TUNES MOVIE,Sci-fi,86
THE DAY THE EARTH BLEW UP: A LOONEY TUNES MOVIE,Adventure,86
THE DAY THE EARTH BLEW UP: A LOONEY TUNES MOVIE,Animation,86
DANGEROUS ANIMALS,Horror,85
DANGEROUS ANIMALS,Mystery & thriller,85
ELIO,Kids & family,83
ELIO,Comedy,83
ELIO,Adventure,83
ELIO,Sci-fi,83
ELIO,Animation,83
THE FRIEND,Drama,85
THE FRIEND,Comedy,85
ONLY THE RIVER FLOWS,Drama,85
ONLY THE RIVER FLOWS,Crime,85
ONLY THE RIVER FLOWS,Mystery & thriller,85
JANE AUSTEN WRECKED MY LIFE,Romance,84
JANE AUSTEN WRECKED MY LIFE,Comedy,84
JANE AUSTEN WRECKED MY LIFE,Drama,84
SACRAMENTO,Comedy,84
DROP,Mystery & thriller,84
THE ASSESSMENT,Sci-fi,82
THE ASSESSMENT,Mystery & thriller,82
THE ASSESSMENT,Drama,82
NONNAS,Comedy,82
NOVOCAINE,Action,81
NOVOCAINE,Comedy,81
NOVOCAINE,Mystery & thriller,81
THE LIFE OF CHUCK,Drama,82
THE LIFE OF CHUCK,Sci-fi,82
THE LIFE OF CHUCK,Fantasy,82
MATERIALISTS,Romance,81
MATERIALISTS,Comedy,81
MATERIALISTS,Drama,81
MISSION: IMPOSSIBLE - THE FINAL RECKONING,Action,80
MISSION: IMPOSSIBLE - THE FINAL RECKONING,Adventure,80
MISSION: IMPOSSIBLE - THE FINAL RECKONING,Mystery & thriller,80
DOG MAN,Kids & family,80
DOG MAN,Comedy,80
DOG MAN,Adventure,80
DOG MAN,Animation,80
HEART EYES,Holiday,78
HEART EYES,Horror,78
HEART EYES,Romance,78
HEART EYES,Comedy,78
LAST BREATH,Mystery & thriller,79
LAST BREATH,Drama,79
THE PHOENICIAN SCHEME,Comedy,77
THE PHOENICIAN SCHEME,Action,77
THE PHOENICIAN SCHEME,Crime,77
THE PENGUIN LESSONS,Comedy,78
THE PENGUIN LESSONS,Drama,78
GAZER,Mystery & thriller,78
HOW TO TRAIN YOUR DRAGON,Kids & family,77
HOW TO TRAIN YOUR DRAGON,Fantasy,77
HOW TO TRAIN YOUR DRAGON,Adventure,77
HOW TO TRAIN YOUR DRAGON,Action,77
HOW TO TRAIN YOUR DRAGON,Comedy,77
THE ACCOUNTANT 2,Action,77
THE ACCOUNTANT 2,Mystery & thriller,77
THE LEGEND OF OCHI,Kids & family,77
THE LEGEND OF OCHI,Sci-fi,77
THE LEGEND OF OCHI,Fantasy,77
THE LEGEND OF OCHI,Action,77
THE LEGEND OF OCHI,Adventure,77
FIGHT OR FLIGHT,Action,77
FIGHT OR FLIGHT,Comedy,77
SEVEN VEILS,Drama,77
SEVEN VEILS,Mystery & thriller,77
MICKEY 17,Sci-fi,76
MICKEY 17,Comedy,76
MICKEY 17,Drama,76
MICKEY 17,Mystery & thriller,76
THE NEW BOY,Drama,76
THE NEW BOY,History,76
THE SHROUDS,Mystery & thriller,75
THE SHROUDS,Sci-fi,75
ARMAND,Drama,74
ARMAND,Mystery & thriller,74
CLOWN IN A CORNFIELD,Horror,73
CLOWN IN A CORNFIELD,Mystery & thriller,73
MOUNTAINHEAD,Comedy,74
MOUNTAINHEAD,Drama,74
QUEEN OF THE RING,Biography,73
QUEEN OF THE RING,Drama,73
QUEEN OF THE RING,Sports,73
